sent_id	range	display
panc0.s15	8-11	ko 'py upāyo 'nuṣṭhīyatām
panc0.s23	2-3	saṅkṣepa-mātram
panc0.s38a	1-7	mam' âśīti-varṣasya vyāvṛtta-sarv'-êndriy'-ârthasya
panc0.s38a	9-10	kiñcid arthena
panc0.s41	3-5	ṣaḍ-mās'-âbhyantare
panc0.s45	7-9	bāl'-âvabodhan'-ârtham
panc1.s83	14-16	yamunā-taṭam avatīrṇaḥ
panc1.s114	6-9	madhyāhna-velāyām āhār'-ârthaṃ
panc1.s127	5-6	so 'tra
panc5.s122	4-7	ih' āgamanen' ânugṛhīt" âsmi
panc5.s134	1-3	n' âtr' âsmākaṃ
panc5.s146	5-6	deva-mārgo
panc5.s156	4-6	bhavac-chatru-sainyaṃ
panc5.s159	2-4	vyāpādy' âsmac-chvaśurakam
panc0.s38	1-5	n' âham artha-lipsur bravīmi
panc0.s42	19-20	nirvṛtim ājagāma
panc1.s8	4-6	vitte 'rthopāyāś cintanīyāḥ
panc1.s128	6-8	sv'-ôdara-pūraṇam
panc0.s42	5-6	brāhmaṇasy' âsaṃbhāvyāṃ
